MYA	WAD
774.9213	11.0545
775.1958	11.0544
775.4703	11.0544
775.7449	11.0543
776.0194	11.0542
776.2939	11.0542
776.5684	11.0541
776.8429	11.054
777.1175	11.054
777.392	11.0539
777.665	10.9983
777.9395	10.9982
778.214	10.9981
778.4885	10.9981
778.763	10.998
779.0376	10.9979
779.3121	10.9979
779.5866	10.9978
779.8611	10.9977
780.1356	10.9977
780.4102	10.9976
780.6846	10.9975
780.9592	10.9975
781.2337	10.9973
781.5082	10.9973
781.7828	10.9973
782.0573	10.9971
782.3317	10.9971
782.6063	10.9971
782.8808	10.9969
783.1554	10.9969
783.4299	10.9969
783.7044	10.9968
783.9774	10.9412
784.2519	10.9411
784.5264	10.9409
784.801	10.9409
785.0755	10.9409
785.35	10.9407
785.6245	10.9407
785.899	10.9407
786.1736	10.9407
786.4481	10.9405
786.7226	10.9405
786.9971	10.9405
787.2716	10.9404
787.5461	10.9403
787.8207	10.9403
788.0952	10.9402
788.3697	10.9401
788.6442	10.9401
788.9186	10.94
789.1933	10.9399
789.4678	10.9399
789.7423	10.9398
790.0168	10.9397
790.2898	10.8841
790.5643	10.884
790.8389	10.884
791.1134	10.8839
791.3879	10.8838
791.6623	10.8838
791.9369	10.8837
792.2115	10.8836
792.486	10.8836
792.7605	10.8835
793.035	10.8834
793.3094	10.8834
793.584	10.8833
793.8586	10.8832
794.1331	10.8832
794.4076	10.8831
794.6821	10.883
794.9567	10.883
795.2312	10.8829
795.5057	10.8828
795.7802	10.8828
796.0547	10.8827
796.3293	10.8826
796.6038	10.8826
796.8782	10.8824
797.1528	10.8824
797.4273	10.8824
797.7019	10.8822
797.9764	10.8822
798.2509	10.8822
798.5253	10.882
798.7999	10.882
799.0745	10.882
799.3474	10.8264
799.6219	10.8263
799.8965	10.8262
800.171	10.8262
800.4455	10.826
800.72	10.826
800.9946	10.826
801.2691	10.8258
801.5436	10.8258
801.8181	10.8258
802.0926	10.8256
802.3672	10.8256
802.6417	10.8256
802.9162	10.8255
803.1907	10.8254
803.4652	10.8254
803.7398	10.8253
804.0143	10.8252
804.2888	10.8252
804.5633	10.8251
804.8378	10.825
805.1124	10.825
805.3854	10.7692
805.6599	10.7692
805.9344	10.7692
806.2089	10.7691
806.4834	10.7691
806.758	10.769
807.0325	10.7689
807.307	10.7689
807.5815	10.7688
807.8559	10.7687
808.1306	10.7687
808.4051	10.7686
808.6796	10.7685
808.9541	10.7685
809.2286	10.7684
809.503	10.7683
809.7776	10.7683
810.0522	10.7682
810.3267	10.7681
810.6012	10.7681
810.8757	10.768
811.1503	10.7679
811.4248	10.7679
811.6993	10.7678
811.9738	10.7677
812.2483	10.7677
812.5229	10.7675
812.7974	10.7675
813.0704	10.7119
813.3449	10.7119
813.6194	10.7118
813.8939	10.7117
814.1685	10.7117
814.443	10.7116
814.7175	10.7115
814.992	10.7115
815.2665	10.7114
815.5411	10.7113
815.8155	10.7113
816.0901	10.7112
816.3646	10.7111
816.6391	10.7111
816.9137	10.7109
817.1882	10.7109
817.4627	10.7109
817.7372	10.7107
818.0117	10.7107
818.2847	10.6551
818.5593	10.655
818.8338	10.655
819.1083	10.6549
819.3828	10.6548
819.6573	10.6548
819.9318	10.6547
820.2064	10.6545
820.4809	10.6545
820.7553	10.6545
821.0299	10.6543
821.3044	10.6543
821.579	10.6543
821.8535	10.6542
822.128	10.6542
822.4025	10.6541
822.677	10.654
822.9516	10.654
823.2261	10.6539
823.5006	10.6538
823.7751	10.6538
824.0481	10.5981
824.3226	10.5981
824.5972	10.5979
824.8717	10.5979
825.1461	10.5979
825.4207	10.5977
825.6952	10.5977
825.9698	10.5977
826.2443	10.5976
826.5188	10.5976
826.7933	10.5975
827.0678	10.5974
827.3424	10.5974
827.6169	10.5973
827.8914	10.5972
828.1659	10.5972
828.4404	10.5971
828.7149	10.597
828.9879	10.5413
829.2625	10.5413
829.537	10.5413
829.8115	10.5412
830.086	10.5411
830.3605	10.5411
830.6351	10.541
830.9096	10.5409
831.1841	10.5409
831.4586	10.5408
831.733	10.5407
832.0077	10.5407
832.2822	10.5406
832.5567	10.5405
832.8312	10.5405
833.1057	10.5404
833.3803	10.5403
833.6533	10.4847
833.9278	10.4846
834.2023	10.4846
834.4768	10.4845
834.7513	10.4844
835.0259	10.4844
835.3004	10.4843
835.5749	10.4842
835.8494	10.4842
836.1239	10.4841
836.3985	10.484
836.673	10.484
836.9475	10.4839
837.222	10.4838
837.4965	10.4838
837.7711	10.4837
838.0456	10.4836
838.3201	10.4836
838.5931	10.428
838.8676	10.4279
839.1421	10.4278
839.4166	10.4278
839.6912	10.4277
839.9657	10.4276
840.2402	10.4276
840.5147	10.4275
840.7892	10.4274
841.0638	10.4274
841.3383	10.4273
841.6128	10.4272
841.8873	10.4272
842.1602	10.3715
842.4348	10.3715
842.7094	10.3714
842.9839	10.3713
843.2584	10.3713
843.5329	10.3712
843.8074	10.3711
844.082	10.3711
844.3565	10.371
844.631	10.3709
844.9055	10.3709
845.18	10.3708
845.4546	10.3707
845.729	10.3707
846.0036	10.3706
846.2781	10.3705
846.5526	10.3705
846.8256	10.3149
847.1001	10.3148
847.3747	10.3147
847.6492	10.3147
847.9237	10.3146
848.1982	10.3145
848.4727	10.3145
848.7473	10.3144
849.0218	10.3143
849.2963	10.3143
849.5693	10.2586
849.8437	10.2586
850.1183	10.2585
850.3929	10.2584
850.6674	10.2584
850.9419	10.2583
851.2164	10.2582
851.4909	10.2582
851.7654	10.2581
852.04	10.258
852.3145	10.258
852.589	10.2579
852.8635	10.2578
853.1381	10.2578
853.4126	10.2577
853.6871	10.2576
853.9616	10.2576
854.2346	10.202
854.5091	10.2019
854.7837	10.2018
855.0582	10.2018
855.3327	10.2017
855.6072	10.2016
855.8817	10.2016
856.1562	10.2015
856.4308	10.2014
856.7053	10.2014
856.9798	10.2013
857.2528	10.1457
857.5272	10.1456
857.8018	10.1455
858.0764	10.1455
858.3509	10.1454
858.6254	10.1453
858.8999	10.1453
859.1743	10.1452
