time	diversity	m_div	M_div
662.589751229	0.02	0	1
662.689769817	0.02	0	1
662.789788406	0.02	0	1
662.889806995	0.02	0	1
662.989825584	0.02	0	1
663.089844173	0.02	0	1
663.189862762	0.02	0	1
663.28988135	0.02	0	1
663.389899939	0.02	0	1
663.489918528	0.02	0	1
663.589937117	0.02	0	1
663.689955706	0.02	0	1
663.789974295	0.02	0	1
663.889992884	0.02	0	1
663.990011472	0.02	0	1
664.090030061	0.02	0	1
664.19004865	0.02	0	1
664.290067239	0.02	0	1
664.390085828	0.02	0	1
664.490104417	0.02	0	1
664.590123005	0.02	0	1
664.690141594	0.02	0	1
664.790160183	0.02	0	1
664.890178772	0.02	0	1
664.990197361	0.02	0	1
665.09021595	0.02	0	1
665.190234538	0.02	0	1
665.290253127	0.02	0	1
665.390271716	0.02	0	1
665.490290305	0.02	0	1
665.590308894	0.02	0	1
665.690327483	0.02	0	1
665.790346071	0.02	0	1
665.89036466	0.02	0	1
665.990383249	0.02	0	1
666.090401838	0.02	0	1
666.190420427	0.02	0	1
666.290439016	0.02	0	1
666.390457604	0.02	0	1
666.490476193	0.02	0	1
666.590494782	0.02	0	1
666.690513371	0.02	0	1
666.79053196	0.02	0	1
666.890550549	0.02	0	1
666.990569138	0.02	0	1
667.090587726	0.02	0	1
667.190606315	0.02	0	1
667.290624904	0.02	0	1
667.390643493	0.02	0	1
667.490662082	0.02	0	1
667.590680671	0.02	0	1
667.690699259	0.02	0	1
667.790717848	0.02	0	1
667.890736437	0.02	0	1
667.990755026	0.02	0	1
668.090773615	0.02	0	1
668.190792204	0.02	0	1
668.290810792	0.02	0	1
668.390829381	0.02	0	1
668.49084797	0.02	0	1
668.590866559	0.02	0	1
668.690885148	0.02	0	1
668.790903737	0.02	0	1
668.890922325	0.02	0	1
668.990940914	0.02	0	1
669.090959503	0.02	0	1
669.190978092	0.02	0	1
669.290996681	0.02	0	1
669.39101527	0.02	0	1
669.491033858	0.02	0	1
669.591052447	0.02	0	1
669.691071036	0.02	0	1
669.791089625	0.02	0	1
669.891108214	0.02	0	1
669.991126803	0.02	0	1
670.091145392	0.02	0	1
670.19116398	0.02	0	1
