Ma	PAL
142.6423	1.2195
142.2213	1.2172
141.7972	1.2172
141.376	1.2149
140.952	1.2149
140.5308	1.2126
140.1067	1.2126
139.6825	1.2125
139.2586	1.2125
138.8374	1.2102
138.4133	1.2102
137.9922	1.2079
137.5681	1.2079
137.144	1.2078
136.7199	1.2078
136.7227	1.2055
136.3017	1.2032
135.8776	1.2032
135.4564	1.2009
135.0295	1.2032
134.6025	1.2054
134.1755	1.2077
133.7485	1.21
133.3215	1.2122
133.3186	1.2145
132.8917	1.2168
132.8888	1.219
132.4618	1.2213
132.0348	1.2236
132.0319	1.2259
131.6049	1.2281
131.6019	1.2304
131.175	1.2327
131.1721	1.2349
131.1692	1.2372
130.7423	1.2395
130.3153	1.2417
130.3124	1.244
129.8854	1.2463
129.8824	1.2486
129.4555	1.2508
129.4526	1.253
129.0256	1.2554
129.0227	1.2577
128.5986	1.2576
128.5957	1.2599
128.5928	1.2622
128.1659	1.2645
128.163	1.2668
127.736	1.269
127.733	1.2713
127.3061	1.2736
127.3032	1.2758
126.8791	1.2758
126.8761	1.2781
126.4492	1.2804
126.4463	1.2826
126.4434	1.2849
126.0165	1.2872
126.0135	1.2894
125.5866	1.2917
125.5836	1.294
125.5808	1.2963
125.5779	1.2986
125.1509	1.3008
124.7239	1.3031
124.721	1.3054
124.294	1.3077
